* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Jul 27, 2023 3:43:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = MRS 10dB B = Crin BETA 
* Measurement: MRS ∆
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1975.000000	-1.473
2000.000000	-1.505
2030.000000	-1.543
2060.000000	-1.580
2090.000000	-1.615
2120.000000	-1.648
2140.000000	-1.668
2180.000000	-1.705
2200.000000	-1.720
2240.000000	-1.745
2270.000000	-1.760
2300.000000	-1.770
2330.000000	-1.778
2360.000000	-1.784
2400.000000	-1.787
2430.000000	-1.787
2470.000000	-1.785
2500.000000	-1.783
2540.000000	-1.778
2580.000000	-1.772
2620.000000	-1.764
2650.000000	-1.756
2690.000000	-1.744
2720.000000	-1.733
2760.000000	-1.716
2800.000000	-1.696
2850.000000	-1.666
2900.000000	-1.630
2950.000000	-1.589
3000.000000	-1.542
3040.000000	-1.500
3070.000000	-1.466
3110.000000	-1.418
3150.000000	-1.367
3200.000000	-1.301
3250.000000	-1.231
3300.000000	-1.160
3350.000000	-1.087
3400.000000	-1.011
3450.000000	-0.935
3500.000000	-0.858
3550.000000	-0.780
3600.000000	-0.703
3650.000000	-0.624
3700.000000	-0.546
3750.000000	-0.469
3820.000000	-0.362
3870.000000	-0.287
3950.000000	-0.171
4000.000000	-0.103
4060.000000	-0.024
4120.000000	0.048
4180.000000	0.113
4250.000000	0.176
4310.000000	0.219
4370.000000	0.251
4440.000000	0.273
4500.000000	0.279
4550.000000	0.276
4620.000000	0.263
4680.000000	0.247
4750.000000	0.226
4820.000000	0.209
4870.000000	0.202
4940.000000	0.199
5000.000000	0.206
5080.000000	0.228
5150.000000	0.258
5220.000000	0.296
5300.000000	0.347
5380.000000	0.404
5450.000000	0.456
5520.000000	0.508
5600.000000	0.566
5700.000000	0.634
5800.000000	0.694
5900.000000	0.746
6000.000000	0.788
6080.000000	0.815
6150.000000	0.832
6220.000000	0.844
6300.000000	0.853
6400.000000	0.855
6500.000000	0.849
6600.000000	0.835
6700.000000	0.814
6800.000000	0.788
6900.000000	0.759
7000.000000	0.728
7100.000000	0.699
7200.000000	0.673
7300.000000	0.653
7400.000000	0.640
7500.000000	0.638
7620.000000	0.652
7750.000000	0.690
7880.000000	0.755
8000.000000	0.842
8120.000000	0.956
8250.000000	1.109
8380.000000	1.291
8500.000000	1.484
8620.000000	1.696
8750.000000	1.943
8850.000000	2.140
9000.000000	2.435
9120.000000	2.658
9250.000000	2.875
9380.000000	3.059
9500.000000	3.195
9620.000000	3.298
9750.000000	3.374
9880.000000	3.414
10000.000000	3.417
10150.000000	3.375
10300.000000	3.281
10440.000000	3.160
10600.000000	3.038
10750.000000	3.019
10900.000000	3.142
11060.000000	3.394
11200.000000	3.635
11380.000000	3.888
11500.000000	4.000
11720.000000	4.110
11800.000000	4.118
12060.000000	4.029
12200.000000	3.886
12410.000000	3.542
12500.000000	3.363
12650.000000	3.041
12800.000000	2.714
13150.000000	2.007
13200.000000	1.917
13400.000000	1.602
13600.000000	1.362
13800.000000	1.196
14000.000000	1.105
14300.000000	1.086
14500.000000	1.131
14750.000000	1.221
15000.000000	1.307
15250.000000	1.351
15500.000000	1.331
15750.000000	1.234
16000.000000	1.065
16250.000000	0.840
16500.000000	0.578
16750.000000	0.296
17000.000000	0.009
17250.000000	-0.274
17500.000000	-0.541
17750.000000	-0.777
18000.000000	-0.968
18250.000000	-1.095
18500.000000	-1.142
18750.000000	-1.103
19000.000000	-0.984
19250.000000	-0.813
19500.000000	-0.689
19750.000000	-0.350
20000.000000	-0.350
